SO00000001,CUST00001,100000000000001,200000000000001,0001010.00,ACTIVE
SO00000002,CUST00002,100000000000002,200000000000002,0001020.00,ACTIVE
SO00000003,CUST00003,100000000000003,200000000000003,0001030.00,ACTIVE
SO00000004,CUST00004,100000000000004,200000000000004,0001040.00,ACTIVE
SO00000005,CUST00005,100000000000005,200000000000005,0001050.00,ACTIVE
SO00000006,CUST00006,100000000000006,200000000000006,0001060.00,ACTIVE
SO00000007,CUST00007,100000000000007,200000000000007,0001070.00,ACTIVE
SO00000008,CUST00008,100000000000008,200000000000008,0001080.00,ACTIVE
SO00000009,CUST00009,100000000000009,200000000000009,0001090.00,ACTIVE
SO00000010,CUST00010,100000000000010,200000000000010,0001100.00,ACTIVE
SO00000011,CUST00011,100000000000011,200000000000011,0001110.00,ACTIVE
SO00000012,CUST00012,100000000000012,200000000000012,0001120.00,ACTIVE
SO00000013,CUST00013,100000000000013,200000000000013,0001130.00,ACTIVE
SO00000014,CUST00014,100000000000014,200000000000014,0001140.00,ACTIVE
SO00000015,CUST00015,100000000000015,200000000000015,0001150.00,ACTIVE
SO00000016,CUST00016,100000000000016,200000000000016,0001160.00,ACTIVE
SO00000017,CUST00017,100000000000017,200000000000017,0001170.00,ACTIVE
SO00000018,CUST00018,100000000000018,200000000000018,0001180.00,ACTIVE
SO00000019,CUST00019,100000000000019,200000000000019,0001190.00,ACTIVE
SO00000020,CUST00020,100000000000020,200000000000020,0001200.00,ACTIVE
SO00000021,CUST00021,100000000000021,200000000000021,0001210.00,ACTIVE
SO00000022,CUST00022,100000000000022,200000000000022,0001220.00,ACTIVE
SO00000023,CUST00023,100000000000023,200000000000023,0001230.00,ACTIVE
SO00000024,CUST00024,100000000000024,200000000000024,0001240.00,ACTIVE
SO00000025,CUST00025,100000000000025,200000000000025,0001250.00,ACTIVE
SO00000026,CUST00026,100000000000026,200000000000026,0001260.00,ACTIVE
SO00000027,CUST00027,100000000000027,200000000000027,0001270.00,ACTIVE
SO00000028,CUST00028,100000000000028,200000000000028,0001280.00,ACTIVE
SO00000029,CUST00029,100000000000029,200000000000029,0001290.00,ACTIVE
SO00000030,CUST00030,100000000000030,200000000000030,0001300.00,ACTIVE
SO00000031,CUST00031,100000000000031,200000000000031,0001310.00,ACTIVE
SO00000032,CUST00032,100000000000032,200000000000032,0001320.00,ACTIVE
SO00000033,CUST00033,100000000000033,200000000000033,0001330.00,ACTIVE
SO00000034,CUST00034,100000000000034,200000000000034,0001340.00,ACTIVE
SO00000035,CUST00035,100000000000035,200000000000035,0001350.00,ACTIVE
SO00000036,CUST00036,100000000000036,200000000000036,0001360.00,ACTIVE
SO00000037,CUST00037,100000000000037,200000000000037,0001370.00,ACTIVE
SO00000038,CUST00038,100000000000038,200000000000038,0001380.00,ACTIVE
SO00000039,CUST00039,100000000000039,200000000000039,0001390.00,ACTIVE
SO00000040,CUST00040,100000000000040,200000000000040,0001400.00,ACTIVE
SO00000041,CUST00041,100000000000041,200000000000041,0001410.00,ACTIVE
SO00000042,CUST00042,100000000000042,200000000000042,0001420.00,ACTIVE
SO00000043,CUST00043,100000000000043,200000000000043,0001430.00,ACTIVE
SO00000044,CUST00044,100000000000044,200000000000044,0001440.00,ACTIVE
SO00000045,CUST00045,100000000000045,200000000000045,0001450.00,ACTIVE
SO00000046,CUST00046,100000000000046,200000000000046,0001460.00,ACTIVE
SO00000047,CUST00047,100000000000047,200000000000047,0001470.00,ACTIVE
SO00000048,CUST00048,100000000000048,200000000000048,0001480.00,ACTIVE
SO00000049,CUST00049,100000000000049,200000000000049,0001490.00,ACTIVE
SO00000050,CUST00050,100000000000050,200000000000050,0001500.00,ACTIVE
SO00000051,CUST00051,100000000000051,200000000000051,0001510.00,ACTIVE
SO00000052,CUST00052,100000000000052,200000000000052,0001520.00,ACTIVE
SO00000053,CUST00053,100000000000053,200000000000053,0001530.00,ACTIVE
SO00000054,CUST00054,100000000000054,200000000000054,0001540.00,ACTIVE
SO00000055,CUST00055,100000000000055,200000000000055,0001550.00,ACTIVE
